symbol,date,open,high,low,close,volume,daily_return,ma_7,ma_30,volatility_7,price_range,ingested_at,dbt_updated_at
AAPL,2025-11-03,270.42,270.85,266.25,269.05,50194583,,,,,4.600000000000023,2026-03-27 20:45:18.364011,2026-04-02 10:19:05.908585+01:00
AAPL,2025-11-04,268.325,271.486,267.615,270.04,49274846,0.36796134547483206,,,,3.870999999999981,2026-03-27 20:45:18.364011,2026-04-02 10:19:05.908585+01:00
AAPL,2025-11-05,268.61,271.7,266.93,270.14,42586288,0.037031550881327924,,,,4.769999999999982,2026-03-27 20:45:18.364011,2026-04-02 10:19:05.908585+01:00
AAPL,2025-11-06,267.89,273.4,267.89,269.77,51204045,-0.13696601762049898,,,,5.509999999999991,2026-03-27 20:45:18.364011,2026-04-02 10:19:05.908585+01:00
AAPL,2025-11-07,269.795,272.29,266.77,268.47,48227365,-0.4818919820587686,,,,5.520000000000039,2026-03-27 20:45:18.364011,2026-04-02 10:19:05.908585+01:00
AAPL,2025-11-10,268.96,273.73,267.455,269.43,41312412,0.3575818527209673,,,,6.275000000000034,2026-03-27 20:45:18.364011,2026-04-02 10:19:05.908585+01:00
AAPL,2025-11-11,269.81,275.91,269.8,275.25,46208318,2.1601158000222664,270.3071428571429,,,6.110000000000014,2026-03-27 20:45:18.364011,2026-04-02 10:19:05.908585+01:00
AAPL,2025-11-12,275.0,275.73,271.7,273.47,48397982,-0.6466848319709229,270.93857142857144,,0.9316300476830381,4.03000000000003,2026-03-27 20:45:18.364011,2026-04-02 10:19:05.908585+01:00
AAPL,2025-11-13,274.11,276.699,272.09,272.95,49602794,-0.19014882802502742,271.3542857142857,,0.9423480442239581,4.609000000000037,2026-03-27 20:45:18.364011,2026-04-02 10:19:05.908585+01:00
AAPL,2025-11-14,271.05,275.96,269.6,272.41,47431331,-0.19783843194722817,271.67857142857144,,0.9514689400892754,6.359999999999957,2026-03-27 20:45:18.364011,2026-04-02 10:19:05.908585+01:00
AAPL,2025-11-17,268.815,270.49,265.73,267.46,45018260,-1.817113909181034,271.34857142857146,,1.2059897792627097,4.759999999999991,2026-03-27 20:45:18.364011,2026-04-02 10:19:05.908585+01:00
AAPL,2025-11-18,269.99,270.71,265.32,267.44,45677278,-0.007477753682783028,271.2014285714286,,1.1953210899705868,5.389999999999986,2026-03-27 20:45:18.364011,2026-04-02 10:19:05.908585+01:00
AAPL,2025-11-19,265.525,272.21,265.5,268.56,40424492,0.4187855219862424,271.07714285714286,,1.1990071822927149,6.7099999999999795,2026-03-27 20:45:18.364011,2026-04-02 10:19:05.908585+01:00
AAPL,2025-11-20,270.83,275.43,265.92,266.25,45823568,-0.8601429848078657,269.7914285714286,,0.7250728672590768,9.509999999999991,2026-03-27 20:45:18.364011,2026-04-02 10:19:05.908585+01:00
AAPL,2025-11-21,265.95,273.33,265.67,271.49,59030832,1.9680751173708932,269.50857142857143,,1.1617947051662616,7.659999999999968,2026-03-27 20:45:18.364011,2026-04-02 10:19:05.908585+01:00
AAPL,2025-11-24,270.9,277.0,270.9,275.92,65585796,1.631735975542381,269.9328571428572,,1.3296518303513694,6.100000000000023,2026-03-27 20:45:18.364011,2026-04-02 10:19:05.908585+01:00
AAPL,2025-11-25,275.27,280.38,275.25,276.97,46914220,0.3805450855320469,270.5842857142857,,1.3214889431380115,5.1299999999999955,2026-03-27 20:45:18.364011,2026-04-02 10:19:05.908585+01:00
AAPL,2025-11-26,276.96,279.53,276.63,277.55,33431423,0.2094089612593386,272.0257142857143,,0.9695883522474676,2.8999999999999773,2026-03-27 20:45:18.364011,2026-04-02 10:19:05.908585+01:00
AAPL,2025-11-28,277.26,279.0,275.9865,278.85,20135620,0.4683840749414525,273.6557142857143,,0.9415385603240384,3.013500000000022,2026-03-27 20:45:18.364011,2026-04-02 10:19:05.908585+01:00
AAPL,2025-12-01,278.01,283.42,276.14,283.1,46587722,1.524116908732287,275.73285714285714,,0.9966847353051496,7.28000000000003,2026-03-27 20:45:18.364011,2026-04-02 10:19:05.908585+01:00
AAPL,2025-12-02,283.0,287.4,282.6301,286.19,53669532,1.0914871070293097,278.5814285714286,,0.6952213605257391,4.76989999999995,2026-03-27 20:45:18.364011,2026-04-02 10:19:05.908585+01:00
AAPL,2025-12-03,286.2,288.62,283.3,284.15,43538687,-0.7128131660784853,280.39,,0.8245710763239793,5.319999999999993,2026-03-27 20:45:18.364011,2026-04-02 10:19:05.908585+01:00
AAPL,2025-12-04,284.095,284.73,278.59,280.7,43989056,-1.2141474573288735,281.0728571428571,,0.954689423525895,6.140000000000043,2026-03-27 20:45:18.364011,2026-04-02 10:19:05.908585+01:00
AAPL,2025-12-05,280.54,281.14,278.05,278.78,47265845,-0.6840042750267283,281.33142857142855,,1.013336090720611,3.089999999999975,2026-03-27 20:45:18.364011,2026-04-02 10:19:05.908585+01:00
AAPL,2025-12-08,278.13,279.6693,276.15,277.89,36406317,-0.3192481526651747,281.38,,1.0232562303816706,3.519300000000044,2026-03-27 20:45:18.364011,2026-04-02 10:19:05.908585+01:00
AAPL,2025-12-09,278.16,280.03,276.92,277.18,31753410,-0.25549677930115644,281.14142857142855,,1.0070717807627994,3.109999999999957,2026-03-27 20:45:18.364011,2026-04-02 10:19:05.908585+01:00
AAPL,2025-12-10,277.75,279.75,276.44,278.78,33038318,0.5772422252687592,280.52428571428567,,0.7971952987382712,3.3100000000000023,2026-03-27 20:45:18.364011,2026-04-02 10:19:05.908585+01:00
AAPL,2025-12-11,279.095,279.59,273.81,278.03,33247986,-0.26902934213358654,279.3585714285714,,0.5537818976474024,5.779999999999973,2026-03-27 20:45:18.364011,2026-04-02 10:19:05.908585+01:00
AAPL,2025-12-12,277.9,279.22,276.82,278.28,39532887,0.08991835413445504,278.52,,0.5639051844431747,2.400000000000034,2026-03-27 20:45:18.364011,2026-04-02 10:19:05.908585+01:00
AAPL,2025-12-15,280.15,280.15,272.84,274.11,50409078,-1.4984907287623805,277.5785714285714,274.622,0.6453873151268679,7.310000000000002,2026-03-27 20:45:18.364011,2026-04-02 10:19:05.908585+01:00
AAPL,2025-12-16,272.82,275.5,271.79,274.61,37648628,0.1824085221261429,276.98285714285714,274.8073333333333,0.6508084894293863,3.7099999999999795,2026-03-27 20:45:18.364011,2026-04-02 10:19:05.908585+01:00
AAPL,2025-12-17,275.01,276.16,271.64,271.84,50138743,-1.0087032518845018,276.11857142857144,274.86733333333336,0.7182065811165252,4.520000000000039,2026-03-27 20:45:18.364011,2026-04-02 10:19:05.908585+01:00
AAPL,2025-12-18,273.605,273.63,266.95,272.19,51630721,0.12875220718069347,275.4057142857143,274.93566666666663,0.7376424823791341,6.680000000000007,2026-03-27 20:45:18.364011,2026-04-02 10:19:05.908585+01:00
AAPL,2025-12-19,272.145,274.6,269.9,273.67,144632048,0.543737830192148,274.67571428571426,275.06566666666663,0.7314107054540049,4.7000000000000455,2026-03-27 20:45:18.364011,2026-04-02 10:19:05.908585+01:00
AAPL,2025-12-22,272.86,273.88,270.505,270.97,36571827,-0.986589688310735,273.6671428571429,275.149,0.7812091199361152,3.375,2026-03-27 20:45:18.364011,2026-04-02 10:19:05.908585+01:00
AAPL,2025-12-23,270.84,272.5,269.56,272.36,29641999,0.5129719157102253,272.82142857142856,275.24666666666667,0.8365916066407221,2.9399999999999977,2026-03-27 20:45:18.364011,2026-04-02 10:19:05.908585+01:00
AAPL,2025-12-24,272.34,275.43,272.195,273.81,17910574,0.5323836099280221,272.7785714285714,275.1986666666667,0.693015685859492,3.2350000000000136,2026-03-27 20:45:18.364011,2026-04-02 10:19:05.908585+01:00
AAPL,2025-12-26,274.16,275.37,272.86,273.4,21521802,-0.14973887001936692,272.60571428571427,275.1963333333333,0.6887178811370243,2.509999999999991,2026-03-27 20:45:18.364011,2026-04-02 10:19:05.908585+01:00
AAPL,2025-12-29,272.69,274.36,272.35,273.76,23715213,0.13167520117045584,272.88,275.22333333333336,0.5476094184315956,2.009999999999991,2026-03-27 20:45:18.364011,2026-04-02 10:19:05.908585+01:00
AAPL,2025-12-30,272.81,274.08,272.28,273.08,22139617,-0.2483927527761609,273.00714285714287,275.24566666666664,0.5628660360150038,1.8000000000000114,2026-03-27 20:45:18.364011,2026-04-02 10:19:05.908585+01:00
AAPL,2025-12-31,273.06,273.68,271.75,271.86,27293639,-0.4467555295151526,272.74857142857144,275.39233333333334,0.541571107118405,1.9300000000000068,2026-03-27 20:45:18.364011,2026-04-02 10:19:05.908585+01:00
AAPL,2026-01-02,272.255,277.84,269.0,271.01,37838054,-0.3126609284190507,272.7542857142857,275.5113333333333,0.39693086643726977,8.839999999999975,2026-03-27 20:45:18.364011,2026-04-02 10:19:05.908585+01:00
AAPL,2026-01-05,270.64,271.51,266.14,267.26,45647190,-1.383712778126267,272.0257142857143,275.468,0.590689888068294,5.3700000000000045,2026-03-27 20:45:18.364011,2026-04-02 10:19:05.908585+01:00
AAPL,2026-01-06,267.0,267.55,262.12,262.36,52352090,-1.8334206390780428,270.39,275.3383333333333,0.7191461282370232,5.430000000000007,2026-03-27 20:45:18.364011,2026-04-02 10:19:05.908585+01:00
AAPL,2026-01-07,263.2,263.68,259.81,260.33,48309804,-0.7737459978655381,268.52285714285716,274.96633333333335,0.6912772718639906,3.8700000000000045,2026-03-27 20:45:18.364011,2026-04-02 10:19:05.908585+01:00
AAPL,2026-01-08,257.02,259.29,255.7,259.04,50419337,-0.4955249106902593,266.42,274.4036666666667,0.6009750517283537,3.590000000000032,2026-03-27 20:45:18.364011,2026-04-02 10:19:05.908585+01:00
AAPL,2026-01-09,259.075,260.21,256.22,259.37,39996967,0.12739345274861424,264.4614285714286,273.817,0.6697365776567828,3.9899999999999523,2026-03-27 20:45:18.364011,2026-04-02 10:19:05.908585+01:00
AAPL,2026-01-12,259.16,261.3,256.8,260.25,45263767,0.33928364884141526,262.80285714285714,273.24033333333335,0.7818833943779648,4.5,2026-03-27 20:45:18.364011,2026-04-02 10:19:05.908585+01:00
AAPL,2026-01-13,258.72,261.81,258.39,261.05,45730847,0.307396733909715,261.38,272.647,0.8541452102451081,3.420000000000016,2026-03-27 20:45:18.364011,2026-04-02 10:19:05.908585+01:00
AAPL,2026-01-14,259.49,261.82,256.71,259.96,40019421,-0.41754453169892125,260.33714285714285,271.87566666666663,0.7668652481807998,5.110000000000014,2026-03-27 20:45:18.364011,2026-04-02 10:19:05.908585+01:00
AAPL,2026-01-15,260.65,261.04,257.05,258.21,39388564,-0.6731804893060467,259.7442857142857,270.943,0.47227666107778526,3.990000000000009,2026-03-27 20:45:18.364011,2026-04-02 10:19:05.908585+01:00
AAPL,2026-01-16,257.9,258.9,254.93,255.53,72142773,-1.0379148754889322,259.0585714285714,269.989,0.5302807768152148,3.9699999999999704,2026-03-27 20:45:18.364011,2026-04-02 10:19:05.908585+01:00
AAPL,2026-01-20,252.73,254.79,243.42,246.7,77280987,-3.455562947599111,257.29571428571427,268.85566666666665,1.3270392344743924,11.370000000000005,2026-03-27 20:45:18.364011,2026-04-02 10:19:05.908585+01:00
AAPL,2026-01-21,248.7,251.56,245.18,247.65,54641725,0.38508309687881326,255.62142857142857,267.818,1.3566454397233563,6.3799999999999955,2026-03-27 20:45:18.364011,2026-04-02 10:19:05.908585+01:00
AAPL,2026-01-22,249.2,251.0,248.15,248.35,39708340,0.2826569755703501,253.92142857142855,266.8333333333333,1.349912987410337,2.8499999999999943,2026-03-27 20:45:18.364011,2026-04-02 10:19:05.908585+01:00
AAPL,2026-01-23,247.32,249.41,244.68,248.04,41688982,-0.12482383732635993,252.06285714285713,265.86199999999997,1.3075938446259996,4.72999999999999,2026-03-27 20:45:18.364011,2026-04-02 10:19:05.908585+01:00
AAPL,2026-01-26,251.48,256.56,249.8,255.41,55969234,2.9712949524270282,251.41285714285715,265.08299999999997,1.9215284764695517,6.759999999999991,2026-03-27 20:45:18.364011,2026-04-02 10:19:05.908585+01:00
AAPL,2026-01-27,259.17,261.95,258.21,258.27,48787855,1.1197682158098576,251.42142857142858,264.4243333333333,1.9723759772412968,3.740000000000009,2026-03-27 20:45:18.364011,2026-04-02 10:19:05.908585+01:00
AAPL,2026-01-28,257.65,258.855,254.51,256.44,41287971,-0.70856080845626,251.5514285714286,263.6963333333333,1.9466927270772385,4.345000000000027,2026-03-27 20:45:18.364011,2026-04-02 10:19:05.908585+01:00
AAPL,2026-01-29,258.0,259.65,254.41,258.28,67253009,0.7175167680548933,253.2057142857143,263.1686666666667,1.1735685184164422,5.239999999999981,2026-03-27 20:45:18.364011,2026-04-02 10:19:05.908585+01:00
AAPL,2026-01-30,255.165,261.8999,252.18,259.48,92443408,0.4646120489391503,254.8957142857143,262.66433333333333,1.1708081860831445,9.719899999999996,2026-03-27 20:45:18.364011,2026-04-02 10:19:05.908585+01:00
AAPL,2026-02-02,260.03,270.49,259.205,270.01,73913425,4.058116232464926,257.99,262.60333333333335,1.706982208085187,11.285000000000025,2026-03-27 20:45:18.364011,2026-04-02 10:19:05.908585+01:00
AAPL,2026-02-03,269.2,271.875,267.61,269.48,63799388,-0.19628902633235246,261.05285714285714,262.513,1.716511202589775,4.264999999999986,2026-03-27 20:45:18.364011,2026-04-02 10:19:05.908585+01:00
AAPL,2026-02-04,272.285,278.95,272.285,276.49,90545710,2.6013062193854797,264.06428571428575,262.607,1.6577031577744608,6.664999999999964,2026-03-27 20:45:18.364011,2026-04-02 10:19:05.908585+01:00
AAPL,2026-02-05,278.13,279.5,273.23,275.91,52977441,-0.20977250533472658,266.5842857142857,262.77166666666665,1.736177697082387,6.269999999999982,2026-03-27 20:45:18.364011,2026-04-02 10:19:05.908585+01:00
AAPL,2026-02-06,277.12,280.905,276.925,278.12,50453414,0.800985828712264,269.68142857142857,262.96366666666665,1.5810622411751896,3.9799999999999613,2026-03-27 20:45:18.364011,2026-04-02 10:19:05.908585+01:00
AAPL,2026-02-09,277.905,278.2,271.7,274.62,44623396,-1.258449590104993,272.0157142857143,262.9906666666667,1.8330136365580925,6.5,2026-03-27 20:45:18.364011,2026-04-02 10:19:05.908585+01:00
AAPL,2026-02-10,274.885,275.37,272.94,273.68,34376898,-0.34229116597480624,274.0442857142857,263.0,1.8890580108761195,2.430000000000007,2026-03-27 20:45:18.364011,2026-04-02 10:19:05.908585+01:00
AAPL,2026-02-11,274.695,280.18,274.45,275.5,51931283,0.6650102309266215,274.8285714285714,263.058,1.2266132617441117,5.730000000000018,2026-03-27 20:45:18.364011,2026-04-02 10:19:05.908585+01:00
AAPL,2026-02-12,275.59,275.72,260.18,261.73,81077229,-4.998185117967324,273.7214285714286,262.67966666666666,2.36303904014016,15.54000000000002,2026-03-27 20:45:18.364011,2026-04-02 10:19:05.908585+01:00
AAPL,2026-02-13,262.01,262.23,255.45,255.78,56290673,-2.2733351163412796,270.7628571428571,262.14366666666666,2.028640660874095,6.78000000000003,2026-03-27 20:45:18.364011,2026-04-02 10:19:05.908585+01:00
AAPL,2026-02-17,258.05,266.29,255.54,263.88,58469094,3.166783954961283,269.0442857142857,261.906,2.594722313693784,10.750000000000028,2026-03-27 20:45:18.364011,2026-04-02 10:19:05.908585+01:00
AAPL,2026-02-18,263.6,266.82,262.45,264.35,34203337,0.17811126269517974,267.07714285714286,261.80899999999997,2.5487169413322563,4.3700000000000045,2026-03-27 20:45:18.364011,2026-04-02 10:19:05.908585+01:00
AAPL,2026-02-19,262.6,264.48,260.05,260.58,30845294,-1.426139587667874,265.0714285714286,261.74966666666666,2.555678236933927,4.430000000000007,2026-03-27 20:45:18.364011,2026-04-02 10:19:05.908585+01:00
AAPL,2026-02-20,258.97,264.75,258.16,264.58,42070499,1.535037224652691,263.7714285714286,261.8913333333333,2.6963758636119124,6.589999999999975,2026-03-27 20:45:18.364011,2026-04-02 10:19:05.908585+01:00
AAPL,2026-02-23,263.49,269.43,263.381,266.18,37308155,0.6047320281200586,262.44,262.12933333333336,2.6923132173422046,6.049000000000035,2026-03-27 20:45:18.364011,2026-04-02 10:19:05.908585+01:00
AAPL,2026-02-24,267.86,274.89,267.71,272.14,47014619,2.2390863325569166,263.9271428571429,262.555,1.9444011947497055,7.180000000000007,2026-03-27 20:45:18.364011,2026-04-02 10:19:05.908585+01:00
AAPL,2026-02-25,271.78,274.94,271.05,274.23,33714342,0.7679870654810239,266.5628571428571,263.021,1.4881565168587516,3.8899999999999864,2026-03-27 20:45:18.364011,2026-04-02 10:19:05.908585+01:00
AAPL,2026-02-26,274.945,276.11,270.795,272.95,32345114,-0.46676147759181497,267.85857142857145,263.41766666666666,1.2197064860969087,5.314999999999998,2026-03-27 20:45:18.364011,2026-04-02 10:19:05.908585+01:00
